model_name	file_source	ndcg@20	recall@20	hit@20	mrr@20	precision@20	map@20	giniindex@20	itemcoverage@20	shannonentropy@20	popularitypercentage@20	Value Unfairness of sensitive attribute gender	Absolute Unfairness of sensitive attribute gender	Underestimation Unfairness of sensitive attribute gender	Overestimation Unfairness of sensitive attribute gender	NonParity Unfairness of sensitive attribute gender	Differential Fairness of sensitive attribute gender
FOCF	Mar-04-2026_22-40-19.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-05-2026_02-11-13.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_02-21-20.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_18-41-08.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_23-04-44.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_14-47-21.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2063
FOCF	Mar-05-2026_01-41-45.log	0.232	0.2709	0.856	0.3914	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0284	0.9184
FOCF	Mar-04-2026_18-59-07.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_17-38-28.log	0.0688	0.0824	0.4866	0.1481	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_01-14-18.log	0.1849	0.2201	0.7672	0.3338	0.0845	0.0884	0.9552	0.2258	0.0073	0.6045	0.1321	0.1064	0.0312	0.1009	0.0037	1.2061
FOCF	Mar-04-2026_19-05-14.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6042	0.1321	0.1064	0.0312	0.1009	0.0038	1.2064
FOCF	Mar-05-2026_00-37-10.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.9189
FOCF	Mar-04-2026_20-55-20.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_16-44-41.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_22-17-32.log	0.1849	0.2201	0.7669	0.3338	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2063
FOCF	Mar-05-2026_02-50-36.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-05-2026_00-11-32.log	0.1849	0.2201	0.7669	0.3338	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_18-17-57.log	0.0689	0.0821	0.4856	0.1486	0.0356	0.0259	0.8859	0.4492	0.0043	0.2968	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_18-00-28.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.1129	0.0163	0.0286	0.9199
FOCF	Mar-04-2026_16-29-33.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2063
